Document Name,Document Path,Topics,URIs
worksheet02.pdf,data/courses/comp_474/worksheets/worksheet02.pdf,rdf,http://www.wikidata.org/entity/Q54872
worksheet01.pdf,data/courses/comp_474/worksheets/worksheet01.pdf,rdf,http://www.wikidata.org/entity/Q54872
2_knowledge_graphs.pdf,data/courses/comp_474/lectures/2_knowledge_graphs.pdf,rdf,http://www.wikidata.org/entity/Q54872
2_knowledge_graphs.pdf,data/courses/comp_474/lectures/2_knowledge_graphs.pdf,knowledge representation,http://www.wikidata.org/entity/Q109642276
3_knowledge_graphs_vocabs_ontologies.pdf,data/courses/comp_474/lectures/3_knowledge_graphs_vocabs_ontologies.pdf,rdf,http://www.wikidata.org/entity/Q54872
7_intelligent_agents.pdf,data/courses/comp_474/lectures/7_intelligent_agents.pdf,natural language processing,http://www.wikidata.org/entity/Q30642
1_intro_to_intelligent_systems.pdf,data/courses/comp_474/lectures/1_intro_to_intelligent_systems.pdf,rdf,http://www.wikidata.org/entity/Q54872
1_intro_to_intelligent_systems.pdf,data/courses/comp_474/lectures/1_intro_to_intelligent_systems.pdf,natural language processing,http://www.wikidata.org/entity/Q30642
1_intro_to_intelligent_systems.pdf,data/courses/comp_474/lectures/1_intro_to_intelligent_systems.pdf,machine learning,http://www.wikidata.org/entity/Q2539
4_knowledge_base_queries.pdf,data/courses/comp_474/lectures/4_knowledge_base_queries.pdf,rdf,http://www.wikidata.org/entity/Q54872
4_knowledge_base_queries.pdf,data/courses/comp_474/lectures/4_knowledge_base_queries.pdf,sparql,http://www.wikidata.org/entity/Q54871
6_intro_to_machine_learning_for_intelligent_systems.pdf,data/courses/comp_474/lectures/6_intro_to_machine_learning_for_intelligent_systems.pdf,machine learning,http://www.wikidata.org/entity/Q2539
syllabus.pdf,data/courses/comp_474/syllabus.pdf,artificial intelligence,http://www.wikidata.org/entity/Q11660
syllabus.pdf,data/courses/comp_474/syllabus.pdf,machine learning,http://www.wikidata.org/entity/Q2539
syllabus.pdf,data/courses/comp_474/syllabus.pdf,rdf,http://www.wikidata.org/entity/Q54872
syllabus.pdf,data/courses/comp_474/syllabus.pdf,sparql,http://www.wikidata.org/entity/Q54871
syllabus.pdf,data/courses/comp_474/syllabus.pdf,natural language processing,http://www.wikidata.org/entity/Q30642
syllabus.pdf,data/courses/comp_474/syllabus.pdf,knowledge representation,http://www.wikidata.org/entity/Q109642276
03_nb_ex.pdf,data/courses/comp_472/worksheets/03_nb_ex.pdf,machine learning,http://www.wikidata.org/entity/Q2539
1_intro_to_ai.pdf,data/courses/comp_472/lectures/1_intro_to_ai.pdf,artificial intelligence,http://www.wikidata.org/entity/Q11660
1_intro_to_ai.pdf,data/courses/comp_472/lectures/1_intro_to_ai.pdf,knowledge representation,http://www.wikidata.org/entity/Q109642276
5_intro_to_ann.pdf,data/courses/comp_472/lectures/5_intro_to_ann.pdf,artificial intelligence,http://www.wikidata.org/entity/Q11660
4_decision_trees_k_means_clustering.pdf,data/courses/comp_472/lectures/4_decision_trees_k_means_clustering.pdf,machine learning,http://www.wikidata.org/entity/Q2539
3_intro_to_ml_naive_bayes_classification.pdf,data/courses/comp_472/lectures/3_intro_to_ml_naive_bayes_classification.pdf,machine learning,http://www.wikidata.org/entity/Q2539
2_state_space_search.pdf,data/courses/comp_472/lectures/2_state_space_search.pdf,artificial intelligence,http://www.wikidata.org/entity/Q11660
syllabus.pdf,data/courses/comp_472/syllabus.pdf,natural language processing,http://www.wikidata.org/entity/Q30642
syllabus.pdf,data/courses/comp_472/syllabus.pdf,artificial intelligence,http://www.wikidata.org/entity/Q11660
syllabus.pdf,data/courses/comp_472/syllabus.pdf,knowledge representation,http://www.wikidata.org/entity/Q109642276
syllabus.pdf,data/courses/comp_472/syllabus.pdf,machine learning,http://www.wikidata.org/entity/Q2539
